exp_id	model_family	model_path	task	reward_type	power_k	power_ll_min	rm_mode	kl	lr	max_prompt	max_resp	data_name	cot_var	run_name_base
interaction-Q3_D5_scale_5k	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_5k	COT_FREEFORM	interaction-Q3_D5_scale_5k-dcfg_default_5k
interaction-Q3_D5_scale_10k	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_10k	COT_FREEFORM	interaction-Q3_D5_scale_10k-dcfg_default_10k
interaction-Q3_D5_scale_all	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_all	COT_FREEFORM	interaction-Q3_D5_scale_all-dcfg_default_all
interaction-Q3_D6_scale_3b	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	COT_FREEFORM	interaction-Q3_D6_scale_3b-dcfg_default(=P0)
interaction-Q3_D6_scale_7b	qwen2.5						frozen	=stable(Pm1)	=stable(Pm1)	8192	512	dcfg_default(=P0)	COT_FREEFORM	interaction-Q3_D6_scale_7b-dcfg_default(=P0)
interaction-Q3_D6_scale_gemma	gemma	google/gemma-2-2b-it					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_gemma	COT_FREEFORM	interaction-Q3_D6_scale_gemma-dcfg_default_gemma
cot-style-Q4_E2_template	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	tom_prompt(TEMPLATE_FULL)	cot-style-Q4_E2_template-dcfg_default(=P0)
cot-style-Q4_E3_no_emotion	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	COT_TEMPLATE_NO_EMOTION	cot-style-Q4_E3_no_emotion-dcfg_default(=P0)
cot-style-Q4_E3_no_belief	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	COT_TEMPLATE_NO_BELIEF	cot-style-Q4_E3_no_belief-dcfg_default(=P0)
cot-style-Q4_E3_no_intent	qwen2.5	Qwen/Qwen2.5-3B-Instruct					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default(=P0)	COT_TEMPLATE_NO_INTENT	cot-style-Q4_E3_no_intent-dcfg_default(=P0)
model-independence-QG_A1g_s1	gemma	google/gemma-2-2b-it					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_gemma	COT_FREEFORM	model-independence-QG_A1g_s1-dcfg_default_gemma
model-independence-QG_A1g_s2	gemma	google/gemma-2-2b-it					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_gemma	COT_FREEFORM	model-independence-QG_A1g_s2-dcfg_default_gemma
model-independence-QG_A1g_s3	gemma	google/gemma-2-2b-it					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_gemma	COT_FREEFORM	model-independence-QG_A1g_s3-dcfg_default_gemma
model-independence-QG_A3g_shuffled	gemma	google/gemma-2-2b-it					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_gemma_shuffled	COT_FREEFORM	model-independence-QG_A3g_shuffled-dcfg_default_gemma_shuffled
model-independence-QG_A4g_nocot	gemma	google/gemma-2-2b-it					frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_default_gemma	NONE	model-independence-QG_A4g_nocot-dcfg_default_gemma
model-independence-QG_B2g_rule_s1	gemma	google/gemma-2-2b-it	tom_rulebased				frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_tom_rule_gemma	tom_prompt(TEMPLATE_FULL)	model-independence-QG_B2g_rule_s1-dcfg_tom_rule_gemma
model-independence-QG_B2g_rule_s2	gemma	google/gemma-2-2b-it	tom_rulebased				frozen	=stable(Pm1)	=stable(Pm1)	2048	512	dcfg_tom_rule_gemma	tom_prompt(TEMPLATE_FULL)	model-independence-QG_B2g_rule_s2-dcfg_tom_rule_gemma
