exp_id,run,log,model,reward,power_k,ll_min,lr,kl,ec,fp,baseline,rm_mode,n_iters,first_step,last_step,n_tom,hm_step0,hm_last3,hm_last5,hm_best,d_hm,hm_late_std,avg_step0,avg_last3,d_avg,gsm8k_step0,gsm8k_last3,d_gsm8k,mmlu_step0,mmlu_last3,d_mmlu,eval_parseable,eval_correct,eval_correct_step0,kl_final,kl_max,resp_len_final,resp_len_min,reward_final
Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp0_ec0.0_lp,Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp0_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp0_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.01,0.0,0.0,False,actor,20,0,190,24,0.4173,0.3506,0.3423,0.4548,-0.0667,0.0122,0.5028,0.4545,-0.0483,0.66,0.0923,-0.5677,0.477,0.53,0.053,0.359,0.359,0.615,2.212,2.405,42.0,34.5,-1.97
Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp0_ec0.001_lp,Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp0_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp0_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.01,0.001,0.0,False,actor,20,0,190,24,0.4203,0.4048,0.4068,0.4675,-0.0155,0.0049,0.5032,0.4767,-0.0265,0.657,0.1767,-0.4803,0.463,0.5257,0.0627,0.423,0.423,0.5,1.856,2.357,57.0,36.7,-5.311
Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp5_ec0.0_lp,Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp5_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp5_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.01,0.0,5.0,False,actor,20,0,190,24,0.4166,0.2572,0.2385,0.4598,-0.1593,0.0423,0.5028,0.327,-0.1758,0.657,0.1957,-0.4613,0.473,0.5133,0.0403,0.321,0.321,0.462,0.611,0.856,118.3,34.2,-1.883
Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp5_ec0.001_lp,Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp5_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.01_lr1e-6_fp5_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.01-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.01,0.001,5.0,False,actor,20,0,190,24,0.4198,0.3689,0.3655,0.4628,-0.0509,0.0055,0.503,0.4545,-0.0485,0.65,0.423,-0.227,0.473,0.5437,0.0707,0.423,0.423,0.615,0.648,0.841,129.1,48.3,-7.169
Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp0_ec0.0_lp,Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp0_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp0_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.05-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.05,0.0,0.0,False,actor,20,0,190,24,0.4201,0.4332,0.4359,0.4649,0.0131,0.0043,0.5042,0.4946,-0.0096,0.667,0.519,-0.148,0.463,0.5853,0.1223,0.41,0.41,0.423,0.341,0.933,111.7,34.6,-2.562
Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp0_ec0.001_lp,Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp0_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp0_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.05-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.05,0.001,0.0,False,actor,20,0,190,24,0.4145,0.4413,0.4441,0.4583,0.0268,0.0062,0.5028,0.4983,-0.0044,0.657,0.5987,-0.0583,0.483,0.5777,0.0947,0.462,0.462,0.462,0.28,0.883,112.0,42.1,-7.274
Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp5_ec0.0_lp,Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp5_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.05_lr5e-7_fp5_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr5e-7-kl0.05-n16-r2.log,Qwen2.5,log_prob,2.0,8.0,5e-7,0.05,0.0,5.0,False,actor,20,0,190,24,0.4148,0.4305,0.4321,0.4578,0.0158,0.0067,0.5031,0.4937,-0.0094,0.66,0.613,-0.047,0.487,0.6257,0.1387,0.449,0.449,0.462,0.234,0.364,120.8,47.1,-2.154
Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp0_ec0.001_lp,Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp0_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp0_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.05-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.05,0.001,0.0,False,actor,20,0,190,24,0.418,0.4292,0.4233,0.4651,0.0113,0.0092,0.5041,0.4896,-0.0144,0.66,0.3577,-0.3023,0.463,0.6167,0.1537,0.513,0.513,0.423,0.273,0.397,121.4,48.0,-4.821
Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp5_ec0.0_lp,Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp5_ec0.0_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp5_ec0.0_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.05-n16-r2.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.05,0.0,5.0,False,actor,20,0,190,24,0.4184,0.4212,0.4226,0.4573,0.0028,0.0031,0.5039,0.4888,-0.0151,0.66,0.47,-0.19,0.473,0.5967,0.1237,0.5,0.5,0.577,0.306,0.457,126.8,42.2,-4.622
Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp5_ec0.001_lp,Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp5_ec0.001_lp-dcfg_smoke_mix,logs/20260711/Phase-stability-Pm1swp_rma_kl0.05_lr1e-6_fp5_ec0.001_lp-dcfg_smoke_mix-Qwen2.5-3B-Instruct-actorRM-nobaseline-log_prob-k2.0-llmin-8.0-lr1e-6-kl0.05-n16-r1.log,Qwen2.5,log_prob,2.0,8.0,1e-6,0.05,0.001,5.0,False,actor,20,0,190,24,0.417,0.434,0.4252,0.4592,0.0171,0.0154,0.5032,0.4999,-0.0033,0.66,0.418,-0.242,0.473,0.6,0.127,0.41,0.41,0.615,0.283,0.418,108.0,41.2,-7.485
